年 year
省長 prefect
省長 governor
上官 shangguan
粗糙 rough
粗糙 coarse
激情 passionate
激情 passion
擦音 fricative
珍貴 precious
導引 homing
河床 riverbed
嚴厲 harsh
門票 tickets
門票 ticket
長春 changchun
通航 navigable
毒素 toxin
毒素 toxins
轎車 sedan
轎車 limousine
轎車 limo
俄亥俄 ohio
獅子座 leo
經濟學家 economist
經濟學家 economists
夔 kui
輸送 conveyor
約瑟 joseph
愛心 caring
約旦 jordan
赦免 pardons
性行為 sexuality
性行為 sex
地下室 basement
昨天 yesterday
兄妹 siblings
應對 coping
佛法 dharma
詳情 detail
詳情 details
詳情 particulars
生殖 reproductive
生殖 reproduction
生殖 procreation
十個 ten
金石 lazuli
交配 mate
交配 mating
小川 ogawa
冰球 hockey
投射 projection
漢城 seoul
藥用 medicinal
酸性 acidic
酸性 acid
酸性 acidity
展望 foresight
展望 outlook
展望 vision
多明尼加 dominican
週年紀念 anniversary
世系 lineage
世系 descent
猴子 monkey
抬 lift
可信 credible
歐文 owen
歐文 irving
俄文 russian
基層 grassroots
揭示 revealing
揭示 reveal
揭示 reveals
反駁 rebuttal
反駁 rebut
反駁 refute
抨擊 bashing
前景 prospect
前景 foreground
前景 prospects
妄想 paranoid
妄想 delusion
妄想 paranoia
妄想 delusional
成年人 adult
成年人 adults
冬青 holly
空前 unprecedented
大炮 cannon
大炮 artillery
明智 wise
抽籤 draw
椅 chairs
椅 chair
聖人 saints
聖人 saint
阿瑟 arthur
捕獲 capture
捕獲 capturing
捕獲 captures
聽眾 listener
聽眾 listeners
蒜 garlic
居所 residence
優點 merits
優點 advantages
優點 advantage
思維 thinking
計程車 taxi
布魯塞爾 brussels
歸還 restitution
失業 unemployed
失業 unemployment
砷 arsenic
野生動物 wildlife
天花 smallpox
水路 waterway
水路 waterways
昂貴 expensive
大麻 cannabis
大麻 marijuana
大麻 weed
安康 ankang
可疑 suspicious
小丑 joker
小丑 clown
抗生素 antibiotics
抗生素 antibiotic
駐紮 stationing
專營 franchises
專營 franchise
關島 guam
字面 literal
紛爭 strife
自轉 rotation
大通 chase
怪人 weirdo
破碎 broken
破碎 shattered
語氣 tone
老年 older
隔離 isolation
隔離 quarantine
隔離 segregation
隔離 isolated
砸 smash
砸 smashing
生病 ill
生病 sick
中位數 median
摔跤 wrestle
摔跤 wrestling
高爾夫球 golf
證書 certificates
證書 certificate
濟南 jinan
山脊 ridge
惡作劇 mischief
惡作劇 prank
佈局 layouts
佈局 layout
日產 nissan
拳擊 boxing
青蛙 frogs
青蛙 frog
面板 panel
高效 efficient
高效 efficiently
探險家 explorer
探險家 explorers
拖延 delay
拖延 delays
拖延 procrastination
伴隨 accompany
伴隨 accompanying
骨灰 ashes
安息 rip
預留 reserved
震撼 shook
柿 persimmon
搶救 salvage
商家 merchant
商家 merchants
執照 licences
執照 licenses
執照 licence
執照 license
煩惱 troubles
煩惱 annoyed
鮑威爾 powell
脊椎動物 vertebrates
混合物 mixture
混合物 mixtures
粉紅色 pink
軍營 barracks
先例 precedent
先例 precedents
頸部 neck
脆弱 fragile
脆弱 vulnerable
定制 customize
定制 customized
定制 customization
定制 custom
火花 sparks
火花 sparkles
火花 spark
脈衝 pulses
脈衝 pulse
莽 mang
電器 appliance
電器 appliances
客房 rooms
協和 concord
伸展 stretch
餐飲 dining
餐飲 catering
亞馬遜 amazon
微弱 faint
眼淚 tear
眼淚 tears
特赦 amnesty
電影院 cinemas
電影院 theater
電影院 cinema
休假 leave
海牙 hague
口音 accent
領導者 leader
領導者 leaders
言語 words
肢 limb
肢 limbs
王座 throne
拆解 dismantling
綏 tuy
容忍 toleration
容忍 tolerance
容忍 tolerated
四重奏 quartet
州際公路 interstate
核糖 ribose
偏好 preference
偏好 preferred
偏好 preferences
糖果 sweets
糖果 candy
山寨 cottage
擾動 perturbed
擾動 disturbance
擾動 disturbances
利潤 profit
利潤 profitability
利潤 profits
範例 paradigm
範例 examples
範例 example
弊 cons
施政 governance
切換 toggle
切換 switch
切換 switching
琮 cong
瘟疫 pestilence
瘟疫 plague
蚜 aphid
公關 pr
公關 publicist
捍衛 defend
捍衛 defending
海邊 seaside
奔跑 running
括號 bracket
括號 brackets
門口 doorway
震驚 shocking
震驚 shock
震驚 shocked
貨櫃 container
貨櫃 containers
協作 collaborate
協作 collaborative
協作 collaborations
協作 collaboration
郵件 mail
無視 ignore
無視 disregard
無視 ignoring
代理人 proxies
代理人 agents
代理人 proxy
代理人 agent
材質 material
呂宋 luzon
美味 tasty
美味 yummy
美味 delicious
虧損 loss
虧損 losses
虧損 deficit
熔 melt
口袋 pocket
口袋 pockets
蜜蜂 bees
蜜蜂 bee
吸入 inhaling
吸入 inhale
吸入 inhalation
瑜伽 yoga
安第斯山脈 andes
硫磺 sulfur
硫磺 sulphur
快艇 speedboats
快艇 speedboat
茉莉 molly
療法 therapy
療法 therapies
包機 chartered
包機 charters
注意力 attention
狐狸 fox
石灰岩 limestone
閏 leap
站立 standing
站立 stand
鼓吹 advocate
鼓吹 advocating
鼓吹 preach
吞噬 devouring
風車 windmill
風車 windmills
印度支那 indochina
同化 assimilate
同化 assimilated
同化 assimilation
對峙 confrontation
對峙 standoff
常年 perennial
鍋 pot
鍋 pots
鍋 wok
職責 duty
職責 duties
孵化 incubation
孵化 hatched
孵化 hatching
孵化 hatch
大連 dalian
文藝復興 renaissance
忠誠 loyal
忠誠 loyalty
忠誠 faithful
祖國 motherland
祖國 homeland
祖國 fatherland
休士頓 houston
舍利 cheri
供電 electricity
高祖 gaozu
四肢 limbs
莎莉 sally
視窗 windows
視窗 window
抗原 antigen
抗原 antigens
老化 aging
老化 ageing
多哈 doha
守護者 guardian
守護者 guardians
經紀人 broker
發育 developmental
槍口 muzzle
仇恨 hatred
仇恨 hate
矮人 dwarf
琵琶 pipa
不規則 irregular
菩提 bodhi
穩定性 stability
混沌 chaos
鑰匙 key
世襲 hereditary
櫻桃 cherry
櫻桃 cherries
執事 deacon
哀悼 condolences
哀悼 mourning
摩托車 motorbike
摩托車 motorcycle
摩托車 motorcycles
加重 aggravated
加重 aggravating
地雷 landmines
地雷 mines
大亨 mogul
大亨 tycoon
安慰 comfort
安慰 comforting
空手道 karate
乾燥 dry
乾燥 drying
點數 credits
點數 points
警示 alerts
警示 alert
土佐 tosa
潛力 potential
潛力 potentials
開墾 reclamation
勞倫斯 lawrence
班級 classes
班級 class
長年 perennial
低溫 hypothermia
低溫 cryogenic
奧斯汀 austin
吉野 yoshino
推算 extrapolation
送出 send
管理者 manager
管理者 managers
哈桑 hassan
委派 assignment
卸 unloading
聚焦 focusing
聚焦 focus
全景 panorama
佐賀 saga
後宮 harem
佛羅里達 florida
誤導 misdirection
誤導 misleading
誤導 misguided
工地 site
比丘 picchu
特質 trait
腎 kidneys
腎 renal
腎 kidney
波恩 bonn
回憶錄 memoirs
回憶錄 memoir
鈎 hook
鈎 hooks
大修 overhaul
觸發 trigger
觸發 triggering
觸發 triggered
觸發 triggers
仁愛 benevolence
未婚 unmarried
香水 fragrances
香水 fragrance
香水 perfume
美式 american
診所 clinics
診所 clinic
大膽 bold
胚胎 embryo
胚胎 embryonic
胚胎 embryos
感知 perception
感知 perceive
感知 perceptions
違規 violation
違規 breach
鈣 calcium
民主化 democratization
民主化 democratisation
關節 joint
關節 joints
淡出 fade
煤礦 coal
宣揚 preach
學期 semester
學期 term
占卜 divination
官司 lawsuit
侵蝕 encroachment
侵蝕 erosion
後勤 logistics
後勤 logistic
後勤 logistical
固體 solid
固體 solids
寄宿 boarding
寄宿 residential
鼻子 nose
芝麻 sesame
瓷器 porcelain
勐 mueang
諜 spy
訂單 order
訂單 orders
特權 privilege
特權 privileges
漁民 fishermen
漁民 fishers
漁民 fisherman
徵求 soliciting
水解 hydrolysis
痕跡 traces
朝陽 chaoyang
柏木 kashiwagi
猩猩 gorilla
猩猩 orangutan
猩猩 ape
常任 permanency
證人 witnesses
證人 witness
日內瓦 geneva
梅森 mason
本體 ontology
女巫 witch
擁抱 hug
擁抱 embrace
擁抱 cuddles
擁抱 hugs
西邊 west
滑行 glide
千伏 kv
出國 abroad
陣列 arrays
陣列 array
耐心 patience
紡織 textile
紡織 textiles
潛水 diving
潛水 dive
合法性 legitimacy
合法性 legality
合法性 lawfulness
竇 sinus
竇 dog
竇 dou
擾亂 disruption
同源 homologous
事前 beforehand
吸引力 attractiveness
吸引力 attraction
吸引力 appealing
吸引力 attractive
甘蔗 sugarcane
甘蔗 cane
哭泣 cry
哭泣 crying
賭博 gambling
賭博 gamble
功效 efficacy
成型 forming
成型 molding
腫瘤 tumor
腫瘤 tumour
紀律 discipline
紀律 disciplines
酷刑 torture
口服 oral
廣東話 cantonese
嚴謹 strict
三叉戟 trident
展品 exhibit
展品 exhibits
仰光 yangon
豁免 exemption
豁免 immunity
豁免 exemptions
豁免 immunities
南昌市 nanchang
反潛 asw
史詩 epic
推斷 extrapolating
推斷 extrapolation
推斷 inference
推斷 inferred
花絮 trivia
暹羅 siamese
暹羅 siam
鑄造 casting
淮海 huaihai
刪去 delete
礦物 minerals
礦物 mineral
麻醉 anesthetic
麻醉 anaesthetic
麻醉 anesthesia
加深 deepening
加深 deepen
加深 deepened
加深 deepens
攝政 regent
褶 pleated
芳香 aromatic
芳香 fragrance
芳香 aroma
民謠 ballad
民謠 folk
明文 explicit
服務業 services
守衛 guards
守衛 guard
氣球 balloon
氣球 balloons
籃板 reb
籃板 rebounds
遣返 repatriation
倫理 ethical
倫理 ethics
一幕 scene
摸 touch
推論 corollary
推論 inference
推論 inferences
投放 delivery
神學院 seminary
憲政 constitutional
瀋陽 shenyang
艾瑪 emma
類比 analogies
類比 analogous
類比 analog
類比 analogy
忠孝 zhongxiao
雅加達 jakarta
通宵 overnight
對照 contrast
膨脹 expansion
營利 profit
營利 profitability
良心 conscience
位移 displacement
招標 tender
招標 tendering
招標 solicitation
傳道 preach
波羅的海 baltic
雨傘 umbrella
雨傘 umbrellas
花生 peanut
花生 peanuts
閃光 flash
閃光 glitter
和弦 chord
和弦 chords
子爵 vicomte
子爵 viscount
削減 cutbacks
削減 cutting
削減 cut
削減 cuts
視察 inspections
視察 inspection
髮型 hair
髮型 hairstyle
里根 reagan
叛變 mutiny
殘酷 cruel
殘酷 cruelty
殘酷 brutal
牧場 pasture
牧場 ranch
單身 single
大自然 nature
犀 rhinoceros
九個 nine
雇用 hire
雇用 hiring
悲傷 sadness
悲傷 sad
僧侶 monk
僧侶 monks
拂 whisk
情境 situational
恐嚇 intimidation
沒收 forfeiture
沒收 confiscation
沒收 confiscated
粉紅 pink
反向 reverse
北九州 kitakyushu
分身 alters
原油 crude
浴 bathing
浴 bath
感恩 gratitude
感恩 thankful
感恩 grateful
感恩 thanksgiving
生氣 angry
星期天 sundays
星期天 sunday
工房 kobo
塵埃 dust
塵埃 fallout
平滑 smooth
平滑 smoothing
加速器 accelerator
弩 crossbow
側面 flank
穆爾 moore
薄弱 weakness
薄弱 weak
指明 specify
諸葛 zhuge
謊言 lie
謊言 lies
宙斯 zeus
越共 vietcong
野獸 beast
填充 padding
填充 filling
填充 fill
起因 causes
水分 moisture
縫 sew
縫 sewing
高分子 polymer
反省 introspection
反省 reflection
飛越 overflights
飛越 overflight
敲 knock
頂端 top
角落 corner
角落 corners
淋巴 lymphatic
狂熱 craze
狂熱 fanaticism
郵輪 cruises
郵輪 cruise
燈光 lights
燈光 light
瑪利亞 maria
抗衡 counterbalance
太陽能 solar
儲備 reserves
儲備 reserve
反對派 opposition
藤本 fujimoto
舵 rudder
舵 helm
池塘 pond
講話 speech
離任 outgoing
激發 inspire
激發 excitation
激發 stimulate
禁忌 taboos
禁忌 forbidden
禁忌 taboo
假說 hypotheses
假說 hypothesis
邪教 cult
醚 ether
醚 ethers
孢子 spores
孢子 spore
噴 spray
榮耀 glory
偽裝 disguise
偽裝 camouflage
偽裝 disguises
鳩 dove
叛軍 rebel
叛軍 rebels
家園 homeland
波動 fluctuation
波動 volatile
波動 fluctuations
波動 volatility
層次 layers
層次 level
矽 silicon
繡 embroidery
繡 embroidered
閘門 floodgates
匹茲堡 pittsburgh
笨 stupid
少了 less
康復 healing
康復 rehabilitation
康復 recovery
大院 compound
沙洲 sandbar
布希 bush
莊園 manor
欺騙 cheat
欺騙 cheating
欺騙 deception
磁性 magnetic
磁性 magnetism
內政 interior
花朵 flowers
花朵 flower
造訪 visiting
炸藥 dynamite
炸藥 explosive
炸藥 explosives
皮革 leather
古人 ancients
徒弟 disciple
徒弟 apprentice
下限 floor
牛仔 cowboys
牛仔 cowboy
親戚 relative
親戚 relatives
勘探 prospecting
勘探 exploration
結晶 crystallization
微米 micron
橢圓形 oval
追查 tracing
疑慮 doubt
疑慮 doubts
公孫 gongsun
上學 school
路線圖 roadmap
窯 kilns
窯 ware
窯 kiln
紅十字會 icrc
乳房 breast
乳房 breasts
正宗 authentic
流血 bleeding
凍 freezing
諾亞 noah
下落 whereabouts
歸屬 attribution
感興趣 interested
鹽水 saline
鹽水 saltwater
館長 curator
偷偷 sneak
毫克 mg
毫克 milligrams
骨折 fracture
骨折 fractured
史學 historiography
泳池 pool
舉例 examples
切除 excision
黏 sticky
灰姑娘 cinderella
牙買加 jamaica
主宰 dominate
迦太基 carthage
渡假 vacation
偏差 deviation
偏差 deviations
偏差 bias
陰影 shadows
陰影 shadow
陰影 shade
驚訝 surprised
鱷魚 crocodile
鱧 snakehead
殘骸 wreckage
殘骸 wreck
幾內亞 guinea
籽 seeds
付款 disbursement
付款 pay
付款 disbursements
付款 payments
付款 payment
白銀 silver
水牛 buffalo
水牛 buffaloes
面部 facial
護航 escort
各部 ministries
共生 symbiotic
共生 symbiosis
厭惡 disgusted
厭惡 disgust
厭惡 aversion
孫子 grandchild
孫子 grandchildren
孫子 grandson
黑幫 gangster
黑幫 gangs
師父 master
瑞穗 mizuho
寶寶 baby
線索 clue
線索 clues
車庫 garage
綠黨 greens
無畏 fearless
損傷 injury
損傷 damage
缺口 gaps
缺口 gap
列舉 enumeration
精華 essence
分流 diversion
分流 shunt
分流 triage
刮 scratch
蟒 python
發起人 initiators
發起人 initiator
≤ ≤
口語 spoken
力學 mechanics
工匠 craftsmen
工匠 artisans
工匠 craftsman
處罰 penalty
處罰 penalties
處罰 punishment
名聲 reputation
序幕 prelude
序幕 prologue
醋 vinegar
岬 promontory
代理商 agency
代理商 agents
代理商 agent
舒適 comfort
舒適 cozy
舒適 comfy
舒適 comfortable
嘲笑 mock
充電 recharging
充電 charge
充電 charging
鎳 nickel
哲也 tetsu
飛翔 fly
飛翔 flying
礦業 mining
地勢 terrain
人馬座 sagittarius
谷地 valley
桃子 peaches
桃子 momoko
桃子 peach
電纜 cabling
電纜 cables
電纜 cable
蝨 lice
蝨 louse
田野 fields
腐敗 corrupt
腐敗 corruption
副總裁 vp
少數民族 minority
少數民族 minorities
無聊 boring
無聊 bored
藉口 excuses
造船廠 shipyard
女朋友 girlfriend
顎 jaw
顎 palate
酒館 tavern
酒館 pub
政治學 politics
飛碟 ufos
飛碟 ufo
郊外 outskirts
草甸 meadows
供給 supply
請願 petitions
請願 petition
荒漠 desert
荒漠 deserts
潟湖 lagoon
鹿角 antlers
先天 congenital
先天 innate
偽造 forgery
偽造 forged
偽造 forging
鹿特丹 rotterdam
好奇 curious
好奇 curiosity
盎司 ounce
盎司 ounces
放逐 exile
利息 interest
口述 dictating
口述 dictation
物料 material
物料 materials
打壓 repression
打壓 suppress
蟻 ant
蟻 ants
耦合 coupling
砂岩 sandstone
鏢 dart
石英 quartz
珍藏 treasured
辯護 defense
波浪 wavy
波浪 waves
波浪 wave
超自然 supernatural
成龍 jackie
猶太教 jewish
猶太教 judaism
血清 serum
小澤 ozawa
凜 rin
愛人 lovers
愛人 lover
各區 districts
瓶子 bottles
瓶子 bottle
清明 qingming
前列腺 prostate
無奈 helpless
小米 mi
小米 xiaomi
小米 millet
化妝 makeup
演示 demo
演示 demonstration
游擊隊 guerrilla
游擊隊 partisan
定罪 convicted
定罪 criminalization
定罪 convictions
定罪 conviction
倡議 initiatives
倡議 initiative
聘用 hiring
盒子 box
勉強 barely
孟子 mencius
液態 liquid
法郎 franc
法郎 francs
棄權 abstentions
棄權 waiver
棄權 abstention
博弈 game
百分比 percentages
百分比 percentage
百分比 percent
製造業 manufacture
製造業 manufacturing
妥協 compromise
動議 motion
動議 motions
路障 roadblock
路障 roadblocks
解雇 dismissal
阻塞 blockage
狙擊手 sniper
氣流 airstream
評判 judging
鍋爐 boiler
鍋爐 boilers
經文 verses
經文 scripture
經文 scriptures
沙丘 dunes
沙丘 dune
會津 aizu
奉獻 dedication
奉獻 dedicated
奉獻 devotion
川上 kawakami
禮堂 auditorium
藥品 medicine
藥品 drugs
藥品 medicines
藥品 medication
籌款 fundraising
盔 helmet
全職 fulltime
清新 fresh
清新 freshness
寧波 ningbo
地基 foundations
太極 taiji
雇主 employers
雇主 employer
朱雀 rosefinch
升起 rise
憂鬱 melancholy
憂鬱 gloomy
吃了 eat
創始 founding
詐騙 fraud
詐騙 scam
詐騙 swindle
莓 raspberries
偷渡 stowaway
偷渡 smuggling
任用 appointments
任用 appointment
地下水 groundwater
階梯 ladder
階梯 stairs
黃蜂 wasp
煙火 fireworks
煙火 pyrotechnics
煙火 firework
有序 orderly
反彈 rebound
反彈 backlash
反彈 bounce
屏障 barriers
屏障 barrier
節點 node
節點 nodes
曙 akebono
姿勢 pose
姿勢 posture
孤兒 orphans
孤兒 orphan
離散 discrete
週四 thu
週四 thursday
船塢 dock
黨派 partisan
協奏曲 concerto
希伯來 hebrew
碉堡 bunker
碉堡 bunkers
魔術師 magicians
魔術師 magician
最深 deepest
葬禮 funeral
儒學 confucianism
寶座 throne
皇甫 huangfu
剪接 splice
電子郵件 email
擊潰 rout
跡象 signs
高能 energetic
招聘 recruitment
招聘 recruiting
招聘 hiring
加速度 acceleration
喇叭 horn
貝勒 belle
貝勒 baylor
不平等 inequity
不平等 inequality
不平等 unequal
不平等 inequalities
晶體 crystal
晶體 crystals
開花 flowering
開花 bloom
白話 vernacular
熵 entropy
化解 defusing
廉價 cheap
空心 hollow
收養 adopt
收養 adoption
收養 adoptions
音訊 audio
桂林市 guilin
叛逆 rebellious
叛逆 rebellion
起落架 undercarriage
外甥 nephew
密封 seal
快車 express
警衛 guard
重現 recurrence
信賴 trusted
彌撒 mass
兩棲 amphibious
古物 antiquities
古物 antiquity
神道 shinto
撞球 billiards
撞球 pool
剝奪 deprivation
後援 backup
鼓舞 inspiring
鼓舞 encouragement
關稅 tariffs
關稅 tariff
關稅 customs
不法 wrongful
上頜 maxillary
定性 qualitative
定性 characterization
讀取 read
讀取 reading
紙幣 banknotes
紙幣 banknote
調動 reassignment
調動 redeployment
調動 mobilization
調動 mobilizing
調動 mobility
獨唱 soloist
獨唱 solo
光電 photovoltaic
十字軍 crusade
十字軍 crusades
十字軍 crusaders
十字軍 crusader
體力 strength
平均值 average
平均值 averages
不敗 undefeated
興奮 excitement
興奮 excited
神龍 dragon
希臘文 greek
紫外線 uv
紫外線 ultraviolet
大介 daisuke
申報 declare
投注 betting
鯊魚 sharks
鯊魚 shark
大腦 brain
大腦 brains
孤獨 loneliness
孤獨 lonely
單字 word
套房 suite
套房 suites
老兵 vets
老兵 veteran
老兵 veterans
更低 lower
變速箱 gearbox
心態 mindsets
心態 mentality
心態 mindset
天秤座 libra
過濾 filter
過濾 filtered
過濾 filtering
過濾 filtration
過濾 filters
黃道 ecliptic
黃道 zodiac
駕駛艙 cockpit
甘地 gandhi
救護 ambulance
加法 additive
蒸氣 vapor
蒸氣 steam
蒸氣 vapour
天命 destiny
代管 escrow
提問 question
遼寧 liaoning
斜坡 slope
斜坡 slopes
斜坡 ramp
輪椅 wheelchairs
輪椅 wheelchair
袋鼠 wallaby
袋鼠 kangaroo
袋鼠 kangaroos
弱勢 vulnerable
開羅 cairo
不適 discomfort
服從 obey
服從 obedience
水力 hydro
水力 hydraulics
水力 hydraulic
水力 hydropower
向日葵 sunflowers
向日葵 sunflower
援軍 reinforcements
轉讓 transfer
轉讓 assignment
轉讓 assignments
轉讓 transfers
駐軍 garrison
反對黨 opposition
博愛 fraternity
冒犯 offensive
早餐 breakfast
肉體 flesh
動力學 dynamics
緯度 latitude
緯度 lat
緯度 latitudes
靈活 flexible
靈活 flexibility
薩姆 sam
扣留 withholding
扣留 detain
凍結 frozen
凍結 freezing
凍結 freeze
副本 copy
副本 copies
粥 porridge
粥 congee
快餐 quickie
停工 lockout
橫向 horizontal
橫向 lateral
辻 tsuji
水壩 dam
水壩 dams
隆起 bulge
典範 exemplary
雄心 ambitions
雄心 ambitious
雄心 ambition
幼蟲 larvae
幼蟲 larva
癱瘓 paralyze
癱瘓 paralysis
癱瘓 paralyzed
航運 shipping
開關 switches
開關 switch
邦聯 confederacy
邦聯 confederation
主婦 housewives
主婦 housewife
填寫 fill
疣 warts
陸戰隊 marines
農林 agroforestry
扣除 deduction
扣除 deduct
扣除 deducted
以色列人 israelis
錄取 admission
肯亞 kenya
扔 throw
硫化 sulphide
硫化 sulfide
影射 innuendo
母音 vowel
巧合 coincidence
代謝 metabolism
代謝 metabolic
大聲 loud
堪薩斯 kansas
戰地 battlefield
進食 feeding
進食 eating
居留 residency
新兵 recruit
上線 online
涅槃 nirvana
老年人 seniors
老年人 elderly
幸存者 survivors
幸存者 survivor
水災 floods
水災 flooding
水災 flood
貂 mink
貂 sable
煎 frying
煎 fry
割讓 cession
遙控 remote
輝煌 brilliant
石榴 pomegranate
多餘 extra
多餘 superfluous
多餘 redundant
多餘 excess
受害人 victims
受害人 victim
美學 aesthetics
美學 aesthetic
堅強 strong
政客 politicians
政客 politician
季刊 quarterly
水母 jellyfish
電阻 resistance
上級 superior
震動 tremor
震動 vibration
病理 pathology
病理 pathological
古琴 guqin
煞車 brake
煞車 brakes
必要性 necessity
堅決 resolute
嫌犯 suspects
嫌犯 suspect
身份證 id
平房 bungalow
元氣 genki
薪水 salary
釀酒 brewing
多面體 polyhedron
發聲 audible
妨礙 obstruction
後果 consequence
後果 consequences
薪資 salary
薪資 salaries
埋伏 ambush
抵押 collateral
抵押 mortgage
大方 generous
扣押 sequestration
扣押 seizure
扣押 impound
元老院 senate
天真 naive
美化 landscaping
美化 beautified
美化 beautify
美化 beautification
配方 formula
備忘錄 memo
備忘錄 memorandum
許可證 license
許可證 permits
許可證 licence
許可證 permit
許可證 licenses
硬度 hardness
考官 examiner
合法化 legalization
合法化 legalizing
合法化 legalized
合法化 legitimization
巴塞隆納 barcelona
墜 pendant
極少 rarely
流體 fluid
流體 fluids
強硬 tough
素質 quality
素質 qualities
伯父 uncle
突變 mutated
突變 mutant
突變 mutating
突變 mutation
突變 mutations
高射炮 flak
塞內加爾 senegal
模具 mould
模具 moulds
模具 mold
模具 molds
椅子 chairs
椅子 chair
琥珀 amber
慾望 desire
慾望 lust
慾望 desires
插座 socket
插座 sockets
聖徒 saints
愛好 hobby
愛好 hobbies
肥胖 obesity
上岸 ashore
象牙 ivory
墜落 falling
活潑 lively
菊花 chrysanthemum
菊花 daisy
氙 xenon
募款 fundraiser
募款 fundraising
自焚 immolation
駭客 hacker
駭客 hackers
漂 floating
漂 drifting
失明 blindness
白雪 snowy
神田 kanda
曲折 tortuous
病房 ward
病房 wards
突尼西亞 tunisia
突尼西亞 tunis
平野 hirano
劇作家 playwright
熊貓 panda
熊貓 pandas
縱火 arson
零星 sporadic
頭條 headline
族裔 ethnicity
族裔 ethnic
正直 integrity
寫信 write
彈珠 marbles
彈珠 marble
乙烯 ethylene
乙烯 vinyl
鈉 sodium
硒 selenium
傷心 sad
衣物 clothing
衣物 clothes
扶手 railing
扶手 handrail
扶手 handrails
海燕 petrels
甘露 manna
甘露 nectar
今夜 tonight
敦促 urge
敦促 urging
敦促 urges
固態 solid
染料 dye
染料 dyes
避難 asylum
避難 refuge
唐人街 chinatown
從來沒有 never
鴉片 opium
延誤 delay
延誤 delays
延誤 delayed
界線 boundaries
螺旋槳 propeller
螺旋槳 propellers
獲利 profit
獲利 profitability
領事 consuls
領事 consul
領事 consular
圍城 siege
圍城 sieges
愛滋病 aids
托管 hosting
托管 trusteeship
國度 kingdom
無窮 infinite
無窮 infinity
頻寬 bandwidth
執業 practises
取締 proscription
加固 fortify
加固 reinforcement
新生代 cenozoic
藻類 algae
打字 typing
巫師 wizard
巫師 wizards
美咲 misaki
玩偶 dolls
玩偶 doll
釉 glaze
寫入 write
寫入 writing
有色 colored
有色 coloured
鈔 banknotes
貧困 poverty
黑社會 triad
黑社會 gangster
競爭力 competitive
競爭力 competitiveness
荒野 wilderness
擁護 espouse
粉末 powder
粉末 powders
親密 intimate
義工 volunteer
過境 transit
矩形 rectangle
矩形 rectangular
貪 greedy
貪 greed
野蠻 savage
野蠻 barbaric
野蠻 savagery
野蠻 brutal
火腿 ham
脆 crisp
脆 crispy
謬誤 fallacies
謬誤 fallacy
毆打 assault
毆打 beating
毆打 beatings
暴徒 thug
暴徒 mob
暴徒 thugs
壁畫 murals
壁畫 fresco
壁畫 mural
士氣 morale
傳言 rumor
大社 taisha
倚 leaning
職能 function
爵士樂 jazz
慈善家 philanthropist
慈善家 philanthropists
女童 girls
暴行 brutality
暴行 atrocity
暴行 atrocities
援引 invocation
援引 invoking
援引 invoke
蘑菇 mushrooms
蘑菇 mushroom
泣 sobbing
俯瞰 overlooking
牲畜 livestock
底片 negatives
信玄 shingen
葡萄牙語 portuguese
氧氣 oxygen
傑克遜 jackson
獲釋 released
≡ ≡
石墨 graphite
頰 cheeks
原告 plaintiff
原告 plaintiffs
橫掃 sweeping
橫掃 sweep
梵蒂岡 vatican
寮國 lao
寮國 laos
騷亂 riots
騷亂 unrest
騷亂 riot
騷亂 rioting
蠟筆 crayons
蠟筆 crayon
弱點 weakness
弱點 weaknesses
弱點 vulnerability
淺野 asano
午餐 lunch
增益 gain
增益 gains
亞當斯 adams
立國 statehood
匙 spoon
徘徊 wandering
夜行 nocturnal
可樂 coke
摺疊 fold
摺疊 folding
蝸牛 snails
蝸牛 snail
不一致 inconsistent
鷺 heron
奮鬥 struggle
東風 df
東風 dongfeng
軍閥 warlords
軍閥 warlord
蜂蜜 honey
油畫 painting
油畫 paintings
玄武 xuanwu
稱謂 designation
瑕疵 flaw
瑕疵 flawed
瑕疵 flaws
瑕疵 defects
瑕疵 imperfections
燈籠 lanterns
燈籠 lantern
受益 benefiting
受益 benefit
樂觀 upbeat
樂觀 optimistic
樂觀 optimism
異性 heterosexual
變體 variants
親近 closeness
俯衝 dive
扶梯 escalator
活著 alive
遺留 legacy
烹飪 cooking
檸檬 lemon
摩登 modern
前所未有 unprecedented
裝修 renovated
裝修 renovation
旅途 journey
況且 besides
救濟 relief
配給 rationing
配給 rations
配給 ration
叛徒 traitor
群組 group
群組 groups
跟蹤 tracking
跟蹤 stalking
天國 heaven
梵語 sanskrit
手續 formalities
手續 formality
喝酒 drink
多樣性 diversity
檀香山 honolulu
處置 disposal
處置 dispose
處置 disposition
處置 disposals
警探 detective
工作站 workstation
工作站 workstations
曲率 curvature
玲奈 rena
草稿 draft
草稿 drafts
量度 measuring
量度 measure
按摩 massages
按摩 massage
寶馬 bmw
獵戶座 orion
林地 woodland
林地 woodlands
寓言 parable
寓言 fables
寓言 fable
竿 pole
變異 mutated
變異 mutant
變異 variations
變異 mutation
變異 variation
欄位 field
欄位 fields
領事館 consulate
曆法 calendar
饒舌 rapping
饒舌 rap
忽視 ignore
忽視 neglect
忽視 ignoring
特使 envoy
特使 envoys
為甚麼 why
煽動 instigation
煽動 incitement
煽動 agitation
煽動 inciting
煽動 sedition
應變 strain
誓言 vow
誓言 oath
誓言 oaths
誓言 vows
顆粒 particles
顆粒 particulates
顆粒 particle
